NorthSea_bin070	p__Bacteroidota
NorthSea_bin054	p__Proteobacteria
NorthSea_bin083	p__Proteobacteria
NorthSea_bin043	p__Bacteroidota
NorthSea_bin069	p__Proteobacteria
NorthSea_bin103	p__Verrucomicrobiota
NorthSea_bin077	p__Proteobacteria
NorthSea_bin057	p__Proteobacteria
NorthSea_bin034	p__Bacteroidota
NorthSea_bin029	p__Bacteroidota
NorthSea_bin106	p__Proteobacteria
NorthSea_bin040	p__Proteobacteria
NorthSea_bin072	p__Proteobacteria
NorthSea_bin125	p__Proteobacteria
NorthSea_bin046	p__Proteobacteria
NorthSea_bin099	p__Proteobacteria
NorthSea_bin082	p__Actinobacteriota
NorthSea_bin052	p__Bacteroidota
NorthSea_bin022	p__Proteobacteria
NorthSea_bin074	p__Proteobacteria
NorthSea_bin014	p__Verrucomicrobiota
NorthSea_bin111	p__Proteobacteria
NorthSea_bin086	p__Actinobacteriota
NorthSea_bin090	p__Bacteroidota
NorthSea_bin067	p__Bacteroidota
NorthSea_bin050	p__Bacteroidota
NorthSea_bin080	p__Bacteroidota
NorthSea_bin092	p__Proteobacteria
NorthSea_bin123	p__Proteobacteria
NorthSea_bin039	p__Proteobacteria
NorthSea_bin053	p__Proteobacteria
NorthSea_bin028	p__Proteobacteria
NorthSea_bin097	p__Proteobacteria
NorthSea_bin104	p__Proteobacteria
NorthSea_bin068	p__Proteobacteria
NorthSea_bin107	p__Proteobacteria
NorthSea_bin096	p__Proteobacteria
