X.OTU.ID	X4M_S98	X3W_S5	X5ST_S136	W10A_S222	W10W_S101	X14ST_S133	X4A_S124	W10G_S233	X5N_S67	X4G_S96	X6N_S83	X8G_S167	W10M_S165	X8M_S80	W3ST_S168	X8A_S147	X8N_S157	X4N_S81	X6A_S109	X7A_S15	X7N_S152	X7ST_S55	W5M_S35	W2W_S80	X8SB_S90	W4G_S193	W10N_S121	X5SB_S143	W6N_S10	X7W_S3	X4ST_S62	X7SB_S154	W10SB_S14	W10ST_S54	W6G_S213	X6G_S169	X6ST_S19	W1A_S20	X8ST_S79	X4SB_S131	X6M_S92	X19M_S66	X5G_S93	W1M_S162	X2N_S2	PJ8W_S198	X12G_S41	X6SB_S47	PJ8SB_S44	X5A_S145	W1ST_S12	W1W_S149	X18SB_S69	W6M_S8	X4W_S122	X5W_S16	X17A_S155	W2A_S214	PJ8G_S99	X15G_S11	X6W_S88	W5SB_S152	W2M_S218	PJ19G_S188	PJ9A_S7	X7M_S150	W2ST_S217	PJ14SB_S9	X17M_S141	W4A_S235	W5A_S72	PJ10G_S167	PJ17G_S139	X18M_S101	X5M_S26	W3A_S137	W3G_S57	W3M_S206	W3N_S61	W8W_S132	PJ6A_S24	PJ8ST_S224	W3W_S223	W4M_S85	W4ST_S104	PJ9W_S19	X10W_S24	W4W_S118	W5G_S184	W5N_S2	PJ14W_S204	PJ18M_S37	PJ5ST_S166	PJ8N_S119	X10A_S156	X21W_S46	W6A_S33	PJ11G_S195	PJ14N_S151	PJ17W_S45	PJ18SB_S70	PJ1W_S15	PJ20N_S241	PJ7SB_S32	X11.2A_S166	X11M_S135	W5ST_S61	W5W_S158	PJ15SB_S58	PJ16ST_S103	PJ17SB_S227	PJ20SB_S164	PJ2SB_S112	PJ9N_S236	X11N_S151	X13ST_S142	X21A_S102	X3N_S117
Zotu1	0	0	0	106	29	0	0	77	0	0	0	0	63	0	6	0	0	0	0	0	0	0	4	6	0	5	35	0	2	0	0	0	30	29	2	0	0	26	0	0	0	0	0	21	0	0	0	0	0	0	17	16	0	2	0	0	0	12	0	0	0	3	10	0	0	0	9	0	0	5	4	0	0	0	0	6	6	6	6	0	0	0	5	5	5	0	0	4	4	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0
Zotu2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	2	2	5	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	4	0	0	0	0	3	0	0	0	0	3	0	7	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2
Zotu3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	6	0	0	0	0	19	0	1	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	5	0	0	0	0	4	4	4	0	0	0	0	1	0	0	3	3	3	3	0	0	0	0	0	2	2	2	2	1	0	0	1	0
Zotu6	183	113	108	0	75	0	86	0	77	73	62	64	0	63	49	54	54	53	50	5	46	42	37	0	23	31	0	35	31	26	29	26	0	0	23	29	27	0	26	25	24	0	23	0	0	0	0	19	0	10	0	0	0	13	12	15	0	0	0	5	11	0	0	0	0	10	0	0	8	0	0	0	0	0	7	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu8	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0
Zotu9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	9	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zotu10	0	0	0	0	0	20	0	0	0	0	2	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	17	0	0	0	0	0	0	0	0	0	12	4	0	0	0	10	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	3	3	0	0	0	0	3	2	0	0	2	0	0	0	0	1	0	0	0	0
